-	2: 404.title	[...slug]	The page you're looking for can't be found.	Die gewünschte Seite wurde nicht gefunden.	
+	5: money.very-generous	Acknowledgements	### 🚀 Very Generous Contributors\n\nThese people spent a lot more than the standard price and treated me to an **Incredible Milkshake**. (And some even left a message) Thanks for the *sugar rush*!	### 🚀 Sehr großzügige Unterstützer\n\nDiese Personen haben deutlich mehr als den Standardpreis bezahlt und mir einen **Unglaublichen Milchshake** spendiert. (Und einige haben sogar eine Nachricht hinterlassen) Danke für den *Zuckerschub*!	
-	6: money.github-sponsors	Acknowledgements	### ❤️ GitHub Sponsors\n\n**Huge thanks** to [anyone]({url}) sponsoring me on GitHub! Hopefully I can get that milkshake factory one day thanks to you. :)	### ❤️ GitHub Sponsoren\n\nRiesiges Dankeschön an [jeden]({url}) der mich auf GitHub sponsert! Hoffentlich kann ich mir eines Tages dank euch die Milchshakefabrik kaufen. :)	
+	6: money.github-sponsors	Acknowledgements	### ❤️ GitHub Sponsors\n\n**Huge thanks** to [anyone]({url}) sponsoring me on GitHub! Hopefully I can get that milkshake factory one day thanks to you. :)	### ❤️ GitHub-Sponsoren\n\n**Vielen Dank** an [alle]({url}), die mich auf GitHub sponsern! Hoffentlich kann ich dank euch eines Tages meine Milchshake-Fabrik eröffnen. :)	
-	7: money.paypal-donations	Acknowledgements	### ✨ PayPal Donations\n\nLots of generous people bought me milkshakes on PayPal when Mac Mouse Fix was still entirely free.\n\nIf you're among them, click [here]({url}) to receive a **free license**!	### ✨ PayPal Spenden\n\nViele großzügige Leute haben mir auf PayPal Milchshakes spendiert, als Mac Mouse Fix noch komplett kostenlos war. \n\nWenn du dazugehört hast, klicke [hier]({url}) um eine **kostenlose Lizenz** zu erhalten!	
+	7: money.paypal-donations	Acknowledgements	### ✨ PayPal Donations\n\nLots of generous people bought me milkshakes on PayPal when Mac Mouse Fix was still entirely free.\n\nIf you're among them, click [here]({url}) to receive a **free license**!	### ✨ PayPal-Spenden\n\nViele großzügige Menschen haben mir Milchshakes auf PayPal spendiert, als Mac Mouse Fix noch komplett kostenlos war.\n\nFalls du dazugehörst, klicke [hier]({url}), um eine **kostenlose Lizenz** zu erhalten!	
-	9: software.inspiration	Acknowledgements	**Software** that inspired Mac Mouse Fix:\n\n- [SteerMouse]({url_1}) - Pioneering mouse software for Mac, inspiring many features. There were moments when I thought 'this is probably not possible', but then I saw 'oh, SteerMouse does it', and three years later, I figured out how to implement it, too.\n- [Calftrail Touch]({url_2}) - The foundation for the 'reverse engineering' work which powers Mac Mouse Fix's best-in-class and first-of-a-kind trackpad simulation!\n- [MOS]({url_3}) - Mac Mouse Fix's 'High Scroll-Smoothness' option, the 'App-Specific Settings' implementation, and more were inspired by MOS.\n- [SensibleSideButtons]({url_4}) - I copied its code for an early implementation of the 'Go back/forward one page in Safari and other apps' feature, and also led me to discover the Calftrail Touch project.\n- [Gifski]({url_5}) - Greatly inspired the design and content of the [Readme.md]({url_6}) for Mac Mouse Fix.\n- [Vue Issue Helper]({url_7}) - Foundation for the design and technical implementation of [Mac Mouse Fix Feedback Assistant]({url_8}).	**Software**, die Mac Mouse Fix inspiriert hat:\n\n- [SteerMouse]({url_1}) - Wegweisende Maus-Software für Mac, die viele Funktionen inspiriert hat. Es gab Momente, in denen ich dachte: 'Das ist wahrscheinlich unmöglich', aber dann hab ich gesehen 'oh, SteerMouse macht es', und drei Jahre später habe ich herausgefunden, wie ich es auch umsetzen kann.\n- [Calftrail Touch]({url_2}) - Die Grundlage für die 'Reverse Engineering'-Arbeit, die Mac Mouse Fix's erstklassige und einzigartige Trackpad-Simulation ermöglicht!\n- [MOS]({url_3}) - Viele Funktionen von Mac Mouse Fix, wie die Option 'Hohe Scroll-Flüssigkeit' und die Implementierung des 'App-spezifische Einstellungen' features, wurden von MOS inspiriert.\n- [SensibleSideButtons]({url_4}) - Ich habe den Code für eine frühe Implementierung der Funktion 'Gehe eine Seite vor/zurück in Safari und anderen Apps' von SensibleSideButtons kopiert und bin dadurch auch auf das Calftrail Touch-Projekt gestoßen.\n- [Gifski]({url_5}) - Hat das Design und den Inhalt des [Readme.md]({url_6}) von Mac Mouse Fix stark inspiriert.\n- [Vue Issue Helper]({url_7}) - Grundlage für das Design und die technische Umsetzung von [Mac Mouse Fix Feedback Assistant]({url_8}).	
+	9: software.inspiration	Acknowledgements	**Software** that inspired Mac Mouse Fix:\n\n- [SteerMouse]({url_1}) - Pioneering mouse software for Mac, inspiring many features. There were moments when I thought 'this is probably not possible', but then I saw 'oh, SteerMouse does it', and three years later, I figured out how to implement it, too.\n- [Calftrail Touch]({url_2}) - The foundation for the 'reverse engineering' work which powers Mac Mouse Fix's best-in-class and first-of-a-kind trackpad simulation!\n- [MOS]({url_3}) - Mac Mouse Fix's 'High Scroll-Smoothness' option, the 'App-Specific Settings' implementation, and more were inspired by MOS.\n- [SensibleSideButtons]({url_4}) - I copied its code for an early implementation of the 'Go back/forward one page in Safari and other apps' feature, and also led me to discover the Calftrail Touch project.\n- [Gifski]({url_5}) - Greatly inspired the design and content of the [Readme.md]({url_6}) for Mac Mouse Fix.\n- [Vue Issue Helper]({url_7}) - Foundation for the design and technical implementation of [Mac Mouse Fix Feedback Assistant]({url_8}).	**Software**, die Mac Mouse Fix inspiriert hat:\n\n- [SteerMouse]({url_1}) - Wegweisende Maus-Software für Mac, die viele Funktionen inspiriert hat. Es gab Momente, in denen ich dachte „das ist wahrscheinlich nicht möglich", aber dann sah ich „oh, SteerMouse macht das", und drei Jahre später fand ich heraus, wie ich es auch implementieren kann.\n- [Calftrail Touch]({url_2}) - Die Grundlage für die „Reverse-Engineering"-Arbeit, die Mac Mouse Fix' erstklassige und einzigartige Trackpad-Simulation antreibt!\n- [MOS]({url_3}) - Mac Mouse Fix' Option „Hohe Scroll-Flüssigkeit", die Implementierung der „App-spezifischen Einstellungen" und mehr wurden von MOS inspiriert.\n- [SensibleSideButtons]({url_4}) - Ich habe dessen Code für eine frühe Implementierung der Funktion „Eine Seite vor/zurück in Safari und anderen Apps" kopiert, und es führte mich auch zur Entdeckung des Calftrail Touch-Projekts.\n- [Gifski]({url_5}) - Hat das Design und den Inhalt der [Readme.md]({url_6}) für Mac Mouse Fix stark inspiriert.\n- [Vue Issue Helper]({url_7}) - Grundlage für das Design und die technische Umsetzung des [Mac Mouse Fix Feedback-Assistenten]({url_8}).	
-	0lz-be-kpl.title	AuthorizeAccessibilityView	Accessibility Access allows Mac Mouse Fix to\nintercept signals from your mouse and keyboard	Zugriff auf Bedienungshilfen erlaubt es Mac Mouse Fix, \nEingaben von deiner Maus und deiner Tastatur abzufangen	I recommend splitting this string into two lines of roughly the same length, for a nice visual layout.
+	0lz-be-kpl.title	AuthorizeAccessibilityView	Accessibility Access allows Mac Mouse Fix to\nintercept signals from your mouse and keyboard	Bedienungshilfen-Zugriff erlaubt Mac Mouse Fix,\nSignale von deiner Maus und Tastatur abzufangen	I recommend splitting this string into two lines of roughly the same length, for a nice visual layout.
-	9qp-gN-SZZ.title	AuthorizeAccessibilityView	Open 'Privacy & Security' Settings	Öffne die 'Datenschutz & Sicherheit' Einstellungen	
+	9qp-gN-SZZ.title	AuthorizeAccessibilityView	Open 'Privacy & Security' Settings	Einstellungen „Datenschutz & Sicherheit" öffnen	
-	46z-Nd-nh4.title	AuthorizeAccessibilityView	Switch on 'Mac Mouse Fix Helper'	Schalte 'Mac Mouse Fix Helper' an	
+	46z-Nd-nh4.title	AuthorizeAccessibilityView	Switch on 'Mac Mouse Fix Helper'	„Mac Mouse Fix Helper" aktivieren	
-	fK8-8z-KQn.ibShadowedToolTip	AuthorizeAccessibilityView	Hold Shift (⇧) and click this icon to reveal 'Mac Mouse Fix Helper.app' in Finder	Halte die Umschalttaste (⇧) und klicke dieses Icon um 'Mac Mouse Fix Helper.app' im Finder anzuzeigen	
+	fK8-8z-KQn.ibShadowedToolTip	AuthorizeAccessibilityView	Hold Shift (⇧) and click this icon to reveal 'Mac Mouse Fix Helper.app' in Finder	Halte Umschalttaste (⇧) gedrückt und klicke auf dieses Symbol, um „Mac Mouse Fix Helper.app" im Finder anzuzeigen	
-	OSk-Cl-izW.title	AuthorizeAccessibilityView	Grant Accessibility Access to Mac Mouse Fix	Erstatte Mac Mouse Fix Zugriff auf Bedienungshilfen	
+	OSk-Cl-izW.title	AuthorizeAccessibilityView	Grant Accessibility Access to Mac Mouse Fix	Gewähre Mac Mouse Fix Bedienungshilfen-Zugriff	
-	1: footer.credits	BottomNav	Created by **Noah Nuebling**	Gemacht von **Noah Nuebling**	
+	1: footer.credits	BottomNav	Created by **Noah Nuebling**	Erstellt von **Noah Nuebling**	
-	2: footer.thankyou	BottomNav	Thank you for {dwn} downloads!	Vielen Dank für {dwn} Downloads!	
+	2: footer.thankyou	BottomNav	Thank you for {dwn} downloads!	Danke für {dwn} Downloads!	
-	Mmp-uv-DmY.title	ButtonOptionsViewController	Lock Mouse Pointer During 'Click and Drag' Gestures	Mauszeiger während 'klicken und ziehen' Gesten fixieren	'Click and Drag'\nshould ideally match the text seen in the Action Table (See trigger.substring.drag.1). The 'quotes' in English exist to help the user draw the connection to the Action Table.\n\nIf matching trigger.substring.drag.1 exactly isn't grammatically possible in your language, consider removing the 'quotes'.\n\nAlso note that the trigger.substring.drag.1 string supports rendering *Markdown emphasis*, but this textfield does not. (As of [Dec 2025]) \nSo consider removing the *Markdown emphasis* when copying over the text from trigger.substring.drag.1\n(Example: 'Click and *Drag*' -> 'Click and Drag')
+	Mmp-uv-DmY.title	ButtonOptionsViewController	Lock Mouse Pointer During 'Click and Drag' Gestures	Mauszeiger während „Klicken und Ziehen"-Gesten sperren	'Click and Drag'\nshould ideally match the text seen in the Action Table (See trigger.substring.drag.1). The 'quotes' in English exist to help the user draw the connection to the Action Table.\n\nIf matching trigger.substring.drag.1 exactly isn't grammatically possible in your language, consider removing the 'quotes'.\n\nAlso note that the trigger.substring.drag.1 string supports rendering *Markdown emphasis*, but this textfield does not. (As of [Dec 2025]) \nSo consider removing the *Markdown emphasis* when copying over the text from trigger.substring.drag.1\n(Example: 'Click and *Drag*' -> 'Click and Drag')
-	01: intro	CapturedButtonsMMF3	# {docname_captured_buttons_mmf3}\n\nWhile using Mac Mouse Fix, you may have encountered a message saying that a button on your mouse is now being 'captured' by Mac Mouse Fix.\n\n{screenshot_0}\n\nIn this article, you'll learn what this means, what problems it can cause, and how to work around them.	# {docname_captured_buttons_mmf3}\n\nBeim Verwenden von Mac Mouse Fix, bist du vielleicht schonmal auf eine Nachricht gestoßen, die besagt, dass eine Taste deiner Maus jetzt von Mac Mouse Fix 'abgefangen' wird.\n\n{screenshot_0}\n\nIn diesem Artikel erfährst du, was das bedeutet, welche Probleme es auslösen kann, und wie du mit ihnen umgehen kannst.	{screenshot_0} will be replaced with a screenshot of the notification that pops up when a button is captured by Mac Mouse Fix. \n\nConsider mirroring the terminology used by that notification. \n\nSearch for 'capture-toast' to find the strings used in that notification.
+	01: intro	CapturedButtonsMMF3	# {docname_captured_buttons_mmf3}\n\nWhile using Mac Mouse Fix, you may have encountered a message saying that a button on your mouse is now being 'captured' by Mac Mouse Fix.\n\n{screenshot_0}\n\nIn this article, you'll learn what this means, what problems it can cause, and how to work around them.	# {docname_captured_buttons_mmf3}\n\nBei der Verwendung von Mac Mouse Fix ist dir vielleicht eine Meldung begegnet, die besagt, dass eine Taste deiner Maus jetzt von Mac Mouse Fix „erfasst" wird.\n\n{screenshot_0}\n\nIn diesem Artikel erfährst du, was das bedeutet, welche Probleme es verursachen kann und wie du sie umgehen kannst.	{screenshot_0} will be replaced with a screenshot of the notification that pops up when a button is captured by Mac Mouse Fix. \n\nConsider mirroring the terminology used by that notification. \n\nSearch for 'capture-toast' to find the strings used in that notification.
-	02: terminology	CapturedButtonsMMF3	## What does 'capturing' a mouse button mean?\n\nA mouse button that is captured by Mac Mouse Fix can't be seen by other apps or by macOS anymore.\nThe functions which this button would normally perform won't work while it's being captured.\n\n**Example**: Normally you can go backward and forward in Chrome by clicking the side buttons (buttons 4 and 5) of the mouse.\nBut when the side buttons are captured by Mac Mouse Fix, this no longer works. Instead, the side buttons will only trigger the actions that you've assigned to them in Mac Mouse Fix.\n\n**Why does Mac Mouse Fix do this?** Mac Mouse Fix hides buttons from other apps to prevent you from accidentally triggering other functions while using Mac Mouse Fix gestures.\nFor example, if you click and drag button 4 to switch between desktops, you would always **simultaneously** go back a page in Chrome.	## Was bedeutet 'abfangen' einer Maustaste?\n\nEine Maustaste, die von Mac Mouse Fix abgefangen wird, kann von anderen Apps und von macOS nicht mehr gesehen werden.\nDie Funktionen, die diese Taste normalerweise ausführen würde, funktionieren nicht, solange sie abgefangen wird.\n\n**Beispiel**: Normalerweise kann man in Chrome Vor und Zurück gehen, indem man die Seitentasten (Taste 4 und 5) der Maus klickt.\nDoch wenn die Seitentasten von Mac Mouse Fix abgefangen werden, dann funktioniert das nicht mehr. Stattdessen lösen die Seitentasten dann nur noch die Aktionen aus, die du ihnen in Mac Mouse Fix zugewiesen hast.\n\n**Warum macht Mac Mouse Fix das?** Mac Mouse Fix versteckt Tasten vor anderen Apps, damit du beim Verwenden von Mac Mouse Fix Gesten nicht aus Versehen auch gleichzeitig andere Funktionen auslöst. \nWenn du z.B. Taste 4 klickst und ziehst um zwischen Schreibtischen zu wechseln, dann würdest du auch immer **gleichzeitig** eine Seite in Chrome zurückgehen.	
+	02: terminology	CapturedButtonsMMF3	## What does 'capturing' a mouse button mean?\n\nA mouse button that is captured by Mac Mouse Fix can't be seen by other apps or by macOS anymore.\nThe functions which this button would normally perform won't work while it's being captured.\n\n**Example**: Normally you can go backward and forward in Chrome by clicking the side buttons (buttons 4 and 5) of the mouse.\nBut when the side buttons are captured by Mac Mouse Fix, this no longer works. Instead, the side buttons will only trigger the actions that you've assigned to them in Mac Mouse Fix.\n\n**Why does Mac Mouse Fix do this?** Mac Mouse Fix hides buttons from other apps to prevent you from accidentally triggering other functions while using Mac Mouse Fix gestures.\nFor example, if you click and drag button 4 to switch between desktops, you would always **simultaneously** go back a page in Chrome.	## Was bedeutet „Erfassen" einer Maustaste?\n\nEine Maustaste, die von Mac Mouse Fix erfasst wird, kann von anderen Apps oder von macOS nicht mehr gesehen werden.\nDie Funktionen, die diese Taste normalerweise ausführen würde, funktionieren nicht mehr, während sie erfasst wird.\n\n**Beispiel**: Normalerweise kannst du in Chrome vor- und zurückgehen, indem du die Seitentasten (Tasten 4 und 5) der Maus klickst.\nAber wenn die Seitentasten von Mac Mouse Fix erfasst werden, funktioniert das nicht mehr. Stattdessen lösen die Seitentasten nur die Aktionen aus, die du ihnen in Mac Mouse Fix zugewiesen hast.\n\n**Warum macht Mac Mouse Fix das?** Mac Mouse Fix versteckt Tasten vor anderen Apps, um zu verhindern, dass du versehentlich andere Funktionen auslöst, während du Mac Mouse Fix-Gesten verwendest.\nWenn du zum Beispiel Taste 4 klickst und ziehst, um zwischen Schreibtischen zu wechseln, würdest du **gleichzeitig** immer eine Seite in Chrome zurückgehen.	
-	03: which-buttons	CapturedButtonsMMF3	## How do I know which buttons are being captured by Mac Mouse Fix?\n\nAny button that shows up on the left side of the 'Buttons' tab is being captured by Mac Mouse Fix.\n\nIn the following image **'Middle Button'**, **'Button 5'**, and **'Button 4'** are being captured: <br>\n\n{screenshot_1}	## Woher weiß ich, welche Tasten von Mac Mouse Fix abgefangen werden?\n\nJede Taste, die links im 'Tasten'-Tab angezeigt wird, wird von Mac Mouse Fix abgefangen.\n\nIm folgenden Bild werden die **'Mittlere Taste'**, **'Taste 5'** und **'Taste 4'** abgefangen: <br>\n\n{screenshot_1}	{screenshot_1} will be replaced by a screenshot of the 'Buttons' tab where you can see 3 buttons being captured: 'Middle Button', 'Button 5' and 'Button 4' (In that order)\n\nTo help the reader make the connection between the text and the screenshot, keep the order of the buttons and match the terminology that is seen on the 'Buttons' tab. \n\nSearch for 'trigger.substring.button-name' inside 'Localizable' to find the button names used on the 'Buttons' tab.
+	03: which-buttons	CapturedButtonsMMF3	## How do I know which buttons are being captured by Mac Mouse Fix?\n\nAny button that shows up on the left side of the 'Buttons' tab is being captured by Mac Mouse Fix.\n\nIn the following image **'Middle Button'**, **'Button 5'**, and **'Button 4'** are being captured: <br>\n\n{screenshot_1}	## Wie weiß ich, welche Tasten von Mac Mouse Fix erfasst werden?\n\nJede Taste, die auf der linken Seite des „Tasten"-Tabs erscheint, wird von Mac Mouse Fix erfasst.\n\nIm folgenden Bild werden **„Mittlere Maustaste"**, **„Taste 5"** und **„Taste 4"** erfasst: <br>\n\n{screenshot_1}	{screenshot_1} will be replaced by a screenshot of the 'Buttons' tab where you can see 3 buttons being captured: 'Middle Button', 'Button 5' and 'Button 4' (In that order)\n\nTo help the reader make the connection between the text and the screenshot, keep the order of the buttons and match the terminology that is seen on the 'Buttons' tab. \n\nSearch for 'trigger.substring.button-name' inside 'Localizable' to find the button names used on the 'Buttons' tab.
-	04: uncapturing	CapturedButtonsMMF3	## How do I prevent Mac Mouse Fix from capturing a mouse button?\n\nTo prevent Mac Mouse Fix from capturing a mouse button, delete all entries for that mouse button from the 'Buttons' tab.\nYou can delete an entry in the 'Buttons' tab by clicking the '-' button on the left.\n\nFor example, in the following image, you could prevent **'Button 4'** from being captured by clicking the two highlighted **'-'** buttons:\n\n{screenshot_2}	## Wie verhindere ich, dass Mac Mouse Fix eine Maustaste abfängt?\n\nUm zu verhindern, dass Mac Mouse Fix eine Maustaste abfängt, lösche alle Einträge für diese Maustaste aus dem 'Tasten'-Tab.\nDu kannst einen Eintrag im 'Tasten'-Tab löschen, indem du die '-' Taste links anklickst.\n\nz.B. könnte man im folgenden Bild das Abfangen von **'Taste 4'** verhindern, indem man die beiden hervorgehobenen **'-'** Tasten anklickt:\n\n{screenshot_2}	{screenshot_2} will be replaced by a screenshot of the 'Buttons' tab where 'Button 4' and two '-' buttons are highlighted.\n\nMatch the terminology seen on the 'Buttons' tab.\n\nSearch for these:\n- ‘Toolbar > Buttons Tab Button' (Title of the ‘Buttons’ tab) \n- ‘trigger.y.group-row.button-name.numbered' (‘Button 4’ string)
